gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
SLC6A17,0.030793641228969,0.0124921218579675,0.0833973313593032,0.0709052095013357,8657,6545.25,9697.675,low,FALSE,FALSE,1,94.9692347195909,0.846281553435695,0.75
SLC6A19,0.107791634102802,0.0978026471150055,0.263355273757253,0.165552626642248,5878,3438.8,6106.525,low,FALSE,FALSE,1,97.1344369467636,0.977478330840919,0
SLC6A4,0.0220893329564779,0.00725173339428107,0.0670045033627965,0.0597527699685154,9212,7089.275,9885.525,low,FALSE,FALSE,1,98.0259006714154,0.996670554476084,0.5
SLC6A6,0.135130150946606,0.103426866658715,0.305765732981995,0.20233886632328,5080,2721,5967,low,FALSE,FALSE,1,90.2676735341992,0.987337191290546,0.25
SLC6A7,0.420732148599478,0.36255110912048,0.466804034268974,0.104252925148494,1251,845.85,1935.525,medium,FALSE,FALSE,1,2.52919222665407,0.95278506796796,0.75
SLC6A8,0.0915746656960608,0.0369782028471441,0.129232824982651,0.0922546221355069,6321,5197,8283.525,low,FALSE,FALSE,1,57.9230249555198,0.98435415888928,0.75
SLC7A1,0.0470894232993698,0.0279354350503236,0.126376162166661,0.0984407271163374,7821,5310.55,8848.525,low,FALSE,FALSE,1,92.4654623210984,0.947022897264395,0.5
SLC7A10,0.350624857620292,0.324908727811054,0.405417487679904,0.0805087598688495,2092.5,1550.325,2286,medium,FALSE,FALSE,1,53.1000166133403,0.977935577658293,
SLC7A11,0.45556025006691,0.400747673269498,0.488651404692931,0.0879037314234322,821,662,1504.675,medium,FALSE,FALSE,1,44.7924089723443,0.996991997667577,1
SLC7A14,0.0303921748325259,0.0110523854904294,0.0853702192683013,0.074317833777872,8688.5,6529.8,9733.55,low,FALSE,FALSE,1,96.881490037553,0.795198012940614,0.75
SLC7A2,0.0381360207822299,0.0202470385271328,0.0942725367714005,0.0740254982442677,8173.5,6256.475,9318.05,low,FALSE,FALSE,1,93.6524018285756,0.999992280283114,1
SLC7A4,0.213366699645843,0.0887408094482687,0.323074199076319,0.234333389628051,4038.5,2413.375,6329.25,low,FALSE,FALSE,1,75.4778686223749,0.996536302631716,0.25
SLC7A7,0.295848892445318,0.134386516029706,0.443838722089594,0.309452206059888,2817,1058.8,5056.05,low,FALSE,FALSE,1,74.6071525223539,0.91568819468861,0.75
SLC7A8,0.0231622819431884,0.00686681673424884,0.0707174137540902,0.0638505970198414,9138.5,7031.95,9904.1,low,FALSE,FALSE,1,96.314534687977,0.930561618603726,0.5
SLC7A9,0.116969065762267,0.102433258027681,0.289093820925444,0.186660562897762,5600,2887.475,5982.725,low,FALSE,FALSE,1,97.9205114954737,0.998356552470092,0.25
SLC8A1,0.0352290119360335,0.014019990572693,0.0887490298010416,0.0747290392283486,8342,6417.475,9609.725,low,FALSE,FALSE,1,91.2994405050238,0.940080561031988,0.75
SLC8A2,0.0138823903778692,0.00258395796992806,0.0408619043408075,0.0382779463708795,9631.5,8074.25,10019,low,FALSE,FALSE,1,98.1671108399268,0.969798090184019,0.25
SLC8A3,0.0312039947208831,0.0125160008710222,0.0825970784565154,0.0700810775854931,8602.5,6580.175,9686.175,low,FALSE,FALSE,1,94.5644607138853,0.89330481771648,0.75
SLC9A3,0.052478421552621,0.0150722143353568,0.0890540976275255,0.0739818832921687,7615.5,6441.9,9581.1,low,FALSE,FALSE,1,87.1869908755219,0.933433220555806,0.75
SLC9A3R1,0.18441900827442,0.16355929949759,0.444244172661784,0.280684873164194,4429.5,961,4676.1,low,FALSE,FALSE,1,91.9517258720157,0.991990868671908,0.25
SLC9A4,0.28615303130964,0.195143845009951,0.370949123953296,0.175805278943345,2989,1923.95,4247.05,low,FALSE,FALSE,1,69.5912108062096,0.943602044709147,0.5
SLC9A5,0.0345830955192118,0.0132187840920114,0.0883174665788677,0.0750986824868563,8396.5,6409.425,9666.625,low,FALSE,FALSE,1,90.61982948524,0.972287817367226,0.75
SLC9A7,0.0275714024315965,0.00393553027587322,0.0730648147360397,0.0691292844601665,8848,6947.65,9987.575,low,FALSE,FALSE,1,81.5937135006909,0.684982575842988,0.25
SLC9A9,0.294455894232433,0.236473904412934,0.332267342701289,0.0957934382883553,2830.5,2329.85,3733.2,low,FALSE,FALSE,1,15.2193103193967,0.989658273012592,0.75
